,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
25,hiro,2015,名古屋,0,5,2,44,46,19.6,20,25.0,45.8,16.45,10.00,94.40,15.20,14,1,463,85.5,20,40.0,6,0,5,11,81.8,12,75.0,18,61.1,16,4,3,0,0,35,14,"108,718",149,102
26,hiro,2015,山形,0,3,1,38,49,14.8,17,17.6,51.6,16.13,13.18,109.89,13.48,6,0,569,84.0,12,25.0,10,0,3,13,100.0,12,58.3,25,64.0,13,2,1,1,0,37,10,"111,034",174,115
27,hiro,2015,鳥栖,1,0,0,46,68,14.4,16,0.0,62.1,19.84,15.29,74.94,8.91,2,0,712,84.7,24,20.8,14,0,7,23,100.0,17,47.1,14,85.7,14,4,4,1,0,56,13,"107,875",124,111
28,hiro,2015,清水,0,5,1,45,32,11.1,13,38.5,49.3,14.24,9.34,61.39,21.32,7,0,423,82.0,13,23.1,14,3,3,14,92.9,17,64.7,25,80.0,34,1,6,2,0,34,17,"109,941",123,117
29,hiro,2015,FC東京,2,0,1,46,44,15.9,18,0.0,58.1,16.48,12.30,65.12,10.10,2,0,577,81.3,19,26.3,9,0,10,18,100.0,15,46.7,10,80.0,18,4,2,0,0,38,15,"108,417",92,113
30,hiro,2015,川崎Ｆ,0,2,1,47,37,11.3,13,15.4,45.4,11.95,9.05,92.83,17.07,4,0,443,79.7,13,7.7,10,0,1,15,93.3,22,50.0,18,72.2,29,3,2,1,0,36,16,"112,198",137,115
31,hiro,2015,甲府,0,2,0,19,53,10.9,10,20.0,52.5,13.20,11.88,61.37,13.46,3,0,673,89.5,11,9.1,14,1,1,16,87.5,10,50.0,14,78.6,24,1,1,0,0,34,6,"109,965",107,92
32,hiro,2015,Ｇ大阪,0,2,0,43,50,16.1,18,11.1,43.0,14.59,10.23,73.79,13.67,6,0,433,79.4,16,31.3,13,1,1,14,85.7,13,61.5,18,88.9,24,8,0,1,0,40,11,"109,072",121,112
33,hiro,2015,湘南,0,5,0,51,40,18.4,18,27.8,51.9,23.28,14.32,70.40,15.12,10,0,596,86.2,22,40.9,9,0,4,14,85.7,21,71.4,23,73.9,15,7,0,0,0,43,17,"110,802",136,98
34,hiro,2016,川崎Ｆ,2,0,1,48,44,15.1,16,0.0,52.9,18.32,13.19,67.86,14.96,3,0,633,84.5,23,17.4,5,0,9,15,86.7,17,82.4,21,57.1,17,3,2,0,0,47,23,"112,940",116,106
