,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
25,g-os,2015,湘南,0,1,0,38,45,15.5,20,5.0,46.7,12.51,11.56,101.38,19.76,4,0,424,78.5,11,9.1,13,0,6,18,77.8,6,16.7,26,73.1,28,4,2,2,0,32,8,"109,739",160,129
26,g-os,2015,鹿島,0,2,1,41,42,6.9,9,22.2,42.1,11.00,7.96,115.52,21.33,3,0,371,67.7,6,33.3,11,1,3,25,80.0,15,46.7,38,73.7,33,5,3,2,0,29,11,"114,395",148,131
27,g-os,2015,松本,1,1,1,57,41,17.2,20,5.0,66.8,22.21,17.03,52.62,9.19,4,0,636,82.4,25,28.0,12,0,12,22,86.4,9,55.6,10,90.0,9,0,1,3,0,57,17,"110,955",140,116
28,g-os,2015,柏,0,3,1,46,50,13.3,14,21.4,45.9,14.89,11.13,112.79,15.57,5,0,483,81.8,13,23.1,9,1,2,12,83.3,14,64.3,32,84.4,25,2,1,0,0,47,14,"110,878",155,105
29,g-os,2015,川崎Ｆ,2,3,5,46,45,10.6,11,27.3,50.6,17.97,15.63,97.53,10.56,5,0,540,83.3,13,23.1,11,2,1,10,100.0,11,27.3,21,81.0,19,5,1,4,0,50,13,"113,331",141,104
30,g-os,2015,浦和,0,2,1,41,38,7.0,8,25.0,40.8,11.43,8.47,72.26,25.53,3,0,398,76.1,7,42.9,10,1,1,18,61.1,7,42.9,19,78.9,32,3,0,1,0,32,8,"116,224",145,115
31,g-os,2015,仙台,0,3,1,51,56,13.5,18,16.7,55.2,20.16,17.12,92.63,13.09,9,0,627,78.1,15,20.0,13,1,7,19,89.5,9,55.6,16,87.5,12,2,6,0,0,40,19,"119,126",190,133
32,g-os,2015,広島,2,0,2,50,57,15.9,18,0.0,57.0,20.52,19.10,73.97,10.78,4,0,647,85.6,11,9.1,10,0,3,21,85.7,11,45.5,13,69.2,18,7,1,4,1,59,16,"112,511",180,113
33,g-os,2015,山形,0,4,0,57,42,12.8,15,26.7,57.5,19.40,15.85,72.79,12.06,7,0,586,84.6,14,35.7,11,2,4,23,87.0,13,38.5,11,81.8,27,6,3,0,0,64,15,"110,115",153,117
34,g-os,2016,鹿島,2,0,1,49,42,6.9,10,0.0,52.1,13.49,11.04,103.51,18.03,2,0,520,75.2,16,18.8,18,3,7,31,80.6,11,36.4,26,69.2,23,2,0,2,0,39,14,"116,243",203,144
35,g-os,2016,甲府,0,1,0,38,48,9.6,12,8.3,55.3,17.23,14.79,103.56,14.35,6,0,670,85.1,14,21.4,15,0,4,19,89.5,12,25.0,20,80.0,33,3,3,1,0,45,10,"115,703",159,125
36,g-os,2016,大宮,0,2,1,52,35,16.4,18,11.1,56.3,22.59,19.94,101.70,17.37,7,0,737,88.7,15,20.0,7,1,9,14,100.0,5,40.0,13,69.2,40,5,3,1,0,66,15,"120,161",162,110
37,g-os,2016,神戸,2,1,2,32,38,6.5,8,12.5,59.6,18.32,15.60,72.72,17.47,1,0,734,84.3,16,18.8,14,3,4,19,94.7,14,42.9,20,80.0,21,2,2,3,0,39,9,"116,165",188,123
38,g-os,2016,横浜FM,2,1,2,58,61,13.7,14,7.1,55.0,24.92,18.70,79.93,11.09,4,1,624,86.9,25,36.0,9,3,6,13,92.3,21,52.4,28,64.3,14,1,2,2,0,62,17,"111,078",167,102
39,g-os,2016,仙台,0,3,1,35,39,5.3,7,42.9,46.9,13.17,10.60,111.88,19.14,4,0,491,74.7,9,22.2,10,3,2,21,85.7,10,60.0,26,80.8,34,1,1,2,0,27,8,"118,793",148,133
40,g-os,2016,柏,2,0,1,49,49,7.0,9,0.0,50.3,17.63,15.76,96.89,11.86,0,0,548,80.8,16,6.3,12,1,4,18,94.4,20,40.0,21,95.2,13,7,5,1,0,53,11,"118,724",180,129
41,g-os,2016,福岡,0,1,0,50,54,14.9,18,5.6,58.3,23.52,18.58,86.11,15.39,5,0,683,83.3,15,33.3,8,0,6,16,100.0,11,54.5,24,62.5,28,4,7,0,0,45,22,"113,719",181,121
