,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
25,tosu,2015,神戸,2,1,7,51,43,9.4,11,9.1,47.1,11.81,8.43,78.71,17.71,4,0,400,75.0,19,21.1,6,2,10,26,76.9,10,50.0,15,66.7,29,4,0,0,0,34,15,"113,923",153,117
26,tosu,2015,清水,1,0,0,48,48,7.6,11,0.0,47.8,8.52,7.58,94.84,18.10,2,0,327,56.9,18,0.0,9,0,6,28,60.7,10,50.0,23,69.6,32,0,4,0,0,34,11,"118,584",143,145
27,tosu,2015,広島,1,0,0,32,54,9.3,9,0.0,37.9,8.35,7.83,72.86,19.33,2,0,367,78.5,4,0.0,6,4,6,14,50.0,8,25.0,13,92.3,32,2,0,2,0,21,6,"113,929",138,97
28,tosu,2015,甲府,2,0,1,45,68,10.1,13,0.0,63.2,12.32,10.96,91.71,10.21,1,0,520,78.5,17,11.8,6,4,8,22,77.3,9,44.4,25,76.0,17,2,0,0,0,46,13,"112,117",128,129
29,tosu,2015,浦和,1,1,1,47,49,6.3,7,14.3,34.9,7.76,7.07,69.47,21.16,2,0,241,66.4,8,12.5,13,2,3,23,60.9,8,12.5,16,81.3,31,2,2,1,0,27,7,"110,656",121,111
30,tosu,2015,名古屋,1,0,0,57,54,9.2,12,0.0,59.7,18.25,13.76,121.26,14.73,2,0,504,76.0,28,25.0,13,4,7,18,83.3,6,50.0,24,79.2,23,2,2,2,0,46,22,"122,458",164,131
31,tosu,2015,松本,0,2,1,57,57,9.1,13,15.4,55.5,14.53,11.40,82.65,16.81,5,0,406,65.3,16,25.0,15,0,5,31,74.2,14,42.9,16,93.8,30,1,3,1,0,49,14,"113,439",140,143
32,tosu,2015,仙台,0,1,0,56,45,11.7,12,8.3,41.9,10.82,8.46,55.75,11.35,3,0,338,73.7,7,28.6,6,0,4,23,73.9,9,33.3,16,75.0,20,1,3,0,0,33,13,"111,045",120,103
33,tosu,2015,FC東京,1,0,0,41,41,4.0,5,0.0,45.4,8.83,8.05,80.01,22.44,1,0,383,69.5,9,0.0,13,1,3,25,72.0,6,50.0,30,56.7,44,2,4,1,0,30,8,"118,185",123,124
34,tosu,2016,福岡,0,2,1,50,49,8.1,10,20.0,58.3,13.93,9.98,92.85,13.85,4,0,447,75.2,15,26.7,16,2,3,12,91.7,11,72.7,26,73.1,27,1,3,4,0,30,14,"117,152",156,123
35,tosu,2016,鹿島,2,0,1,51,50,6.2,9,0.0,59.3,18.61,13.92,96.43,11.24,2,0,597,79.6,18,33.3,19,2,3,32,81.3,14,71.4,21,85.7,18,2,1,0,0,50,15,"124,386",173,146
36,tosu,2016,甲府,1,1,1,57,62,9.3,13,7.7,67.7,23.10,17.40,108.36,10.83,4,0,746,81.5,38,26.3,18,2,3,26,92.3,21,42.9,20,85.0,18,0,1,0,0,73,21,"120,331",147,140
37,tosu,2016,横浜FM,2,1,2,48,72,13.9,16,6.3,53.8,14.09,11.98,74.95,8.68,6,0,509,77.4,17,23.5,13,7,6,22,90.9,7,42.9,16,81.3,29,4,1,0,0,46,12,"120,002",163,115
38,tosu,2016,柏,1,1,1,57,46,8.2,11,9.1,43.9,13.28,9.50,105.53,18.90,3,0,418,71.8,26,23.1,18,1,6,18,88.9,9,55.6,25,92.0,15,4,3,0,0,50,16,"122,492",193,134
39,tosu,2016,川崎Ｆ,2,0,1,54,54,16.4,21,0.0,44.4,13.63,9.54,131.84,13.58,5,0,409,73.8,24,16.7,13,2,4,17,70.6,16,68.8,32,84.4,32,5,2,3,0,48,16,"121,799",187,128
40,tosu,2016,磐田,2,0,1,63,40,11.1,14,0.0,50.5,12.50,7.98,77.12,12.73,1,0,332,67.2,15,40.0,17,5,5,23,47.8,19,42.1,12,83.3,23,1,0,0,0,30,21,"109,240",154,126
41,tosu,2016,仙台,0,2,0,63,68,8.7,11,18.2,52.6,14.09,11.67,85.41,12.69,3,1,437,72.8,18,27.8,18,3,7,19,73.7,7,28.6,12,83.3,17,1,4,1,0,44,20,"115,741",172,126
42,tosu,2016,湘南,2,0,1,56,59,8.6,12,0.0,50.4,10.33,7.62,91.72,9.48,2,0,335,60.3,17,17.6,11,6,8,27,70.4,9,66.7,16,87.5,20,2,7,2,0,40,13,"111,161",151,140
43,tosu,2016,広島,2,0,3,40,60,3.1,3,0.0,50.0,13.75,11.95,66.54,9.18,0,0,568,84.2,16,6.3,14,3,4,12,75.0,12,58.3,12,83.3,5,2,0,0,0,43,8,"120,709",176,97
44,tosu,2016,FC東京,1,0,0,22,42,2.3,3,0.0,48.1,8.46,7.69,80.65,21.24,2,0,448,72.8,12,8.3,20,3,4,21,57.1,3,66.7,18,83.3,28,1,1,0,0,39,4,"122,254",154,132
45,tosu,2016,大宮,2,0,1,43,52,9.6,11,0.0,51.8,11.96,10.80,74.73,12.04,2,0,457,76.1,20,5.0,18,0,4,23,87.0,11,36.4,13,84.6,26,3,2,1,0,39,9,"120,886",172,115
46,tosu,2016,浦和,1,0,0,42,55,4.2,5,0.0,31.5,5.71,4.14,65.36,19.21,0,0,218,61.9,6,16.7,19,0,1,16,62.5,7,42.9,13,76.9,27,1,1,0,0,15,6,"115,831",134,119
47,tosu,2016,神戸,1,0,0,56,52,7.1,9,0.0,42.7,11.74,8.38,69.57,14.62,3,0,327,66.7,20,25.0,16,2,9,21,66.7,7,57.1,17,64.7,20,3,3,1,0,33,18,"116,420",206,126
48,tosu,2016,名古屋,0,1,0,44,56,7.2,10,10.0,54.0,11.55,8.63,71.37,13.60,2,0,422,73.7,13,30.8,15,2,3,33,78.8,8,50.0,15,73.3,25,2,0,1,0,41,9,"118,730",198,139
49,tosu,2016,Ｇ大阪,0,2,1,54,71,10.4,12,16.7,46.2,13.89,10.52,82.30,11.66,5,0,388,70.6,15,20.0,13,0,5,24,87.5,14,57.1,16,62.5,21,2,0,1,0,37,17,"118,485",177,115
50,tosu,2016,新潟,2,0,1,51,45,3.9,5,0.0,40.9,9.21,7.80,98.14,15.70,1,0,345,67.8,19,10.5,7,0,4,20,85.0,11,45.5,27,81.5,16,2,3,1,0,36,12,"118,808",131,128
51,tosu,2016,FC東京,0,3,2,46,67,7.6,10,30.0,57.3,15.96,12.46,77.41,7.15,4,0,542,78.6,19,26.3,9,8,7,30,86.7,8,50.0,13,69.2,8,3,1,0,0,43,14,"118,066",134,131
52,tosu,2016,神戸,1,2,2,42,53,8.0,9,22.2,47.5,9.92,8.57,96.39,13.33,3,0,391,71.1,12,8.3,15,3,3,15,66.7,7,42.9,26,73.1,17,5,3,1,0,35,10,"116,848",150,113
53,tosu,2016,湘南,0,2,0,52,58,13.0,17,11.8,47.4,14.31,10.57,107.38,15.13,4,0,389,70.4,15,26.7,9,3,6,24,87.5,11,63.6,21,85.7,27,5,4,0,0,37,16,"117,647",173,131
54,tosu,2016,名古屋,1,0,0,45,59,11.1,14,0.0,58.3,15.58,10.84,61.59,14.74,4,0,475,77.7,19,26.3,10,6,6,31,83.9,17,41.2,18,61.1,16,1,2,1,0,36,8,"116,366",158,126
55,tosu,2016,福岡,0,3,2,51,57,7.9,10,30.0,56.2,14.05,11.04,114.31,11.41,5,0,495,73.5,19,15.8,11,3,4,23,91.3,12,50.0,16,75.0,9,2,3,2,0,45,19,"115,840",175,126
56,tosu,2016,鹿島,0,1,0,40,40,5.6,7,14.3,41.9,10.40,7.99,82.62,23.81,3,0,340,68.2,10,40.0,12,2,2,19,84.2,9,44.4,23,73.9,33,3,1,3,0,24,7,"115,741",149,126
57,tosu,2016,Ｇ大阪,2,1,2,50,49,14.7,16,6.3,41.9,12.34,9.45,100.00,13.94,3,1,416,78.4,11,18.2,7,2,4,22,81.8,13,46.2,16,75.0,17,6,1,2,0,34,11,"109,979",102,109
58,tosu,2016,川崎Ｆ,0,1,0,57,70,9.2,11,9.1,39.7,12.92,9.39,109.27,8.49,4,0,342,68.7,16,18.8,8,3,6,17,88.2,9,66.7,17,88.2,15,3,9,0,0,38,17,"118,553",161,119
59,tosu,2016,磐田,1,1,1,56,46,7.1,9,11.1,47.0,8.89,7.99,68.37,17.28,4,0,330,67.6,19,5.3,10,2,7,21,76.2,9,33.3,13,84.6,27,2,4,2,0,32,16,"112,334",179,126
60,tosu,2016,新潟,0,1,0,53,55,8.6,12,8.3,51.4,10.47,7.98,113.78,9.12,3,0,363,67.2,16,12.5,19,4,6,27,85.2,12,58.3,22,77.3,21,3,6,2,0,38,10,"111,819",147,139
61,tosu,2016,浦和,2,0,2,31,56,9.7,12,0.0,56.8,13.90,11.40,93.90,15.27,4,0,556,79.7,16,18.8,18,3,2,15,86.7,13,38.5,15,80.0,16,6,3,2,0,38,7,"117,841",147,124
62,tosu,2016,広島,2,2,3,40,53,14.7,14,14.3,52.1,16.85,12.93,62.33,10.95,6,0,534,83.9,25,12.0,8,6,5,12,83.3,10,80.0,7,71.4,19,6,2,3,0,49,9,"117,011",158,95
63,tosu,2016,大宮,1,1,1,34,50,7.6,8,12.5,38.9,11.17,9.61,75.01,14.61,3,1,419,80.0,13,7.7,7,2,4,12,100.0,10,30.0,10,80.0,15,4,2,1,0,32,6,"118,503",126,105
64,tosu,2016,仙台,2,2,3,51,54,10.5,12,16.7,59.9,17.07,11.74,60.07,8.51,3,0,554,78.5,24,29.2,14,1,7,18,88.9,13,69.2,14,71.4,9,2,3,2,0,49,19,"118,717",169,114
65,tosu,2016,柏,0,3,2,42,52,7.8,11,27.3,45.4,11.10,8.80,124.28,16.27,4,0,394,68.3,12,16.7,12,1,3,21,76.2,16,56.3,24,83.3,31,0,5,1,0,37,10,"126,370",170,141
66,tosu,2016,横浜FM,1,2,2,44,49,9.6,11,18.2,43.4,11.66,9.07,80.09,13.87,4,0,429,79.3,12,33.3,12,2,0,21,71.4,7,28.6,24,83.3,24,3,0,0,0,29,10,"126,672",203,114
67,tosu,2016,甲府,0,1,0,43,50,7.7,8,12.5,70.9,18.69,16.54,72.00,9.31,4,0,788,84.9,14,14.3,10,2,3,19,89.5,10,40.0,11,90.9,13,0,3,0,0,55,13,"118,767",140,104
68,tosu,2017,柏,2,1,3,44,51,5.2,7,14.3,47.9,11.95,8.36,83.64,15.43,4,0,429,69.9,10,30.0,18,3,4,18,83.3,15,46.7,24,75.0,25,1,6,2,0,35,9,"120,346",145,135
69,tosu,2017,川崎Ｆ,1,1,1,55,51,6.2,8,12.5,39.6,12.31,9.94,102.98,15.43,3,0,397,67.5,15,6.7,10,5,5,21,71.4,11,63.6,27,59.3,35,2,2,0,0,40,12,"122,717",143,129
70,tosu,2017,広島,0,1,0,48,46,13.3,15,6.7,39.7,11.93,7.97,89.00,20.94,4,0,315,68.6,9,44.4,13,4,3,6,83.3,10,70.0,14,50.0,42,1,2,1,0,32,15,"121,446",191,113
71,tosu,2017,Ｃ大阪,2,0,1,51,49,6.7,9,0.0,47.5,14.73,11.82,91.98,17.91,0,0,482,75.3,18,22.2,10,4,4,30,80.0,11,45.5,21,81.0,31,0,2,0,0,36,16,"122,156",168,135
72,tosu,2017,FC東京,1,3,3,53,48,12.4,16,18.8,41.2,10.48,8.61,103.60,19.86,8,1,305,63.3,13,23.1,12,0,5,25,88.0,8,37.5,29,62.1,28,1,2,1,0,31,10,"116,536",184,129
73,tosu,2017,新潟,0,3,0,56,55,8.2,11,27.3,47.0,10.59,8.17,76.74,13.56,3,1,333,68.8,10,20.0,25,5,5,24,83.3,10,50.0,26,80.8,26,4,2,1,0,36,15,"116,819",195,134
74,tosu,2017,磐田,2,1,2,48,43,3.9,5,20.0,50.3,10.53,8.08,78.53,13.54,2,0,411,66.2,13,15.4,11,2,5,38,78.9,15,53.3,16,100.0,20,1,6,2,0,28,10,"109,038",169,127
75,tosu,2017,神戸,0,1,0,56,42,7.7,9,11.1,38.6,13.57,9.86,87.13,19.43,3,0,360,69.2,17,29.4,18,5,4,11,63.6,8,50.0,19,68.4,38,2,2,1,0,39,12,"121,080",174,117
76,tosu,2017,鹿島,2,1,2,49,47,5.1,7,14.3,45.0,11.16,9.03,80.50,13.16,2,1,403,72.7,10,30.0,12,4,3,32,75.0,12,33.3,22,81.8,21,1,1,0,0,33,11,"115,254",164,137
77,tosu,2017,横浜FM,0,1,0,52,50,8.6,11,9.1,42.9,13.62,8.17,87.40,21.36,2,0,326,64.7,17,41.2,17,1,2,15,66.7,11,81.8,34,64.7,43,5,1,0,0,30,15,"120,069",174,128
78,tosu,2017,清水,1,1,1,58,65,5.9,8,12.5,61.2,21.72,16.07,106.50,9.95,3,0,602,79.1,19,21.1,15,2,4,28,71.4,19,68.4,17,82.4,16,2,5,0,0,54,20,"115,062",155,136
79,tosu,2017,Ｇ大阪,2,0,3,52,55,10.8,14,0.0,53.0,16.83,11.78,95.20,11.65,1,0,528,76.1,19,31.6,13,4,3,26,92.3,14,50.0,16,81.3,20,2,1,1,0,41,16,"115,907",153,130
80,tosu,2017,札幌,0,1,0,45,45,9.0,11,9.1,49.5,11.55,7.91,97.21,20.02,4,0,430,75.8,13,30.8,17,3,2,20,70.0,11,54.5,13,84.6,46,3,1,0,0,36,10,"122,875",160,122
81,tosu,2017,大宮,1,1,1,52,51,9.5,12,8.3,44.5,11.73,7.83,90.12,15.43,1,0,378,70.6,11,36.4,12,1,7,28,85.7,11,45.5,12,100.0,30,3,3,0,0,27,14,"114,633",156,126
82,tosu,2017,仙台,1,1,1,39,41,10.7,14,7.1,49.0,9.97,8.22,96.46,18.29,4,0,441,73.2,11,9.1,17,3,4,17,88.2,11,63.6,14,92.9,25,3,6,0,0,26,11,"120,125",182,131
83,tosu,2017,浦和,0,2,1,46,34,8.3,9,22.2,37.3,7.57,6.79,89.60,14.65,3,0,287,71.8,4,0.0,10,3,4,13,69.2,3,66.7,17,88.2,26,0,1,1,0,27,10,"109,124",130,108
84,tosu,2017,甲府,1,0,0,44,39,8.9,11,0.0,61.9,19.27,14.45,80.10,14.26,2,0,629,81.9,23,30.4,8,2,3,22,86.4,15,46.7,14,92.9,29,0,3,1,0,47,14,"113,502",144,124
85,tosu,2017,川崎Ｆ,2,2,3,54,49,11.3,12,16.7,39.0,12.87,9.36,62.21,11.99,6,1,365,77.5,9,44.4,15,3,2,23,87.0,11,54.5,19,84.2,24,0,0,1,0,40,9,"114,315",145,106
86,tosu,2017,広島,0,1,0,51,41,11.3,11,9.1,46.3,10.78,9.37,77.70,19.82,3,0,373,77.5,13,15.4,8,2,5,15,66.7,10,20.0,17,76.5,38,3,1,3,0,36,14,"110,083",126,97
87,tosu,2017,清水,0,2,1,48,45,8.7,10,20.0,45.6,11.89,7.07,76.59,15.57,5,0,331,70.1,12,58.3,22,2,2,15,80.0,11,54.5,18,66.7,23,1,2,2,0,27,12,"111,479",130,115
88,tosu,2017,柏,1,0,0,47,32,7.0,8,0.0,42.6,10.12,6.48,55.01,20.35,2,0,303,65.0,15,33.3,16,3,4,18,72.2,6,66.7,13,69.2,45,3,4,2,0,24,12,"108,477",141,114
89,tosu,2017,横浜FM,2,0,1,57,57,13.6,14,0.0,52.1,17.43,13.09,65.69,11.83,4,0,487,80.3,23,26.1,15,1,7,15,93.3,8,62.5,19,63.2,16,3,0,4,0,48,17,"109,035",138,103
90,tosu,2017,大宮,0,3,0,50,63,9.4,10,30.0,45.7,12.74,10.54,88.84,13.59,5,0,469,77.2,20,5.0,14,1,3,18,94.4,13,61.5,11,72.7,19,2,1,0,0,35,9,"111,423",150,106
91,tosu,2017,Ｇ大阪,2,1,3,53,52,8.2,10,10.0,50.8,14.42,11.79,91.47,10.34,3,1,480,75.2,19,15.8,9,8,2,24,91.7,14,42.9,18,77.8,17,1,2,0,0,41,16,"113,633",175,122
92,tosu,2017,仙台,2,1,4,54,45,7.5,10,10.0,49.3,16.71,12.44,119.74,13.96,3,0,442,75.8,15,40.0,16,2,3,27,77.8,18,44.4,15,86.7,28,9,3,1,0,47,15,"116,345",165,134
93,tosu,2017,甲府,0,2,1,61,46,17.7,20,10.0,61.9,22.15,15.19,61.94,12.50,7,0,587,79.4,36,30.6,9,3,8,21,85.7,18,55.6,11,54.5,29,2,2,4,0,51,26,"111,738",180,113
94,tosu,2017,浦和,1,2,2,44,43,7.9,9,22.2,26.3,5.23,4.19,64.46,24.82,3,0,185,58.9,4,25.0,8,2,3,16,87.5,10,40.0,22,77.3,44,4,1,1,0,18,8,"113,603",118,114
95,tosu,2017,鹿島,0,1,0,59,52,7.8,10,10.0,45.9,14.57,10.21,78.21,13.83,2,0,334,69.5,13,30.8,13,1,7,24,83.3,24,33.3,27,77.8,28,1,3,0,0,38,20,"106,983",162,128
96,tosu,2017,Ｃ大阪,2,1,2,50,53,8.3,11,9.1,48.5,11.44,9.47,87.84,11.55,2,1,407,69.3,12,16.7,21,3,6,24,54.2,14,42.9,16,62.5,19,0,6,0,0,31,10,"112,125",169,133
97,tosu,2017,神戸,0,2,1,49,43,7.2,8,25.0,36.6,8.90,6.09,75.09,17.48,4,1,309,65.7,14,21.4,11,3,1,21,71.4,12,58.3,13,69.2,33,5,2,2,0,27,12,"110,830",137,111
98,tosu,2017,新潟,2,0,1,52,46,11.2,15,0.0,44.8,10.45,8.74,89.87,17.29,4,0,322,59.9,9,22.2,12,2,6,33,69.7,11,36.4,21,71.4,35,1,4,0,0,26,11,"110,688",169,134
99,tosu,2017,FC東京,0,2,1,52,51,5.4,6,33.3,39.4,8.91,6.83,113.43,17.13,4,0,342,71.6,15,6.7,12,4,4,14,100.0,11,36.4,18,88.9,38,2,3,1,0,30,7,"108,795",156,112
100,tosu,2017,磐田,2,0,2,54,43,8.5,11,0.0,51.7,9.25,7.57,77.04,8.59,1,0,354,67.2,14,7.1,23,1,4,28,92.9,16,43.8,20,65.0,20,3,4,2,0,26,12,"104,201",137,130
101,tosu,2017,札幌,2,2,3,53,46,6.8,8,25.0,55.5,11.46,9.59,74.83,10.24,2,0,349,70.5,11,18.2,18,3,5,21,81.0,8,37.5,16,81.3,21,2,1,5,0,34,17,"110,621",158,117
102,tosu,2018,神戸,1,1,1,49,48,5.6,7,14.3,38.6,9.18,7.15,106.67,21.03,2,1,328,61.9,12,16.7,16,1,2,18,77.8,13,46.2,22,81.8,48,1,2,1,0,31,9,"119,409",163,126
103,tosu,2018,長崎,1,2,2,56,53,13.0,18,11.1,60.9,17.88,14.17,71.78,11.31,5,0,565,78.8,18,27.8,23,6,7,32,90.6,11,54.5,15,73.3,14,2,1,3,0,50,17,"117,064",155,138
104,tosu,2018,横浜FM,0,2,1,64,53,12.2,15,13.3,32.7,8.39,6.06,115.56,17.18,4,1,208,68.3,9,33.3,14,3,7,28,92.9,15,13.3,36,69.4,20,1,2,3,0,26,9,"113,658",179,123
105,tosu,2018,鹿島,2,0,1,68,44,7.5,11,0.0,52.1,14.85,12.10,94.55,11.66,5,0,380,68.9,16,12.5,15,2,10,23,82.6,26,38.5,34,73.5,25,1,2,3,0,47,18,"106,365",181,146
106,tosu,2018,名古屋,0,3,2,74,66,12.5,17,17.6,45.9,17.69,10.30,112.09,9.14,3,0,332,65.4,31,32.3,17,5,9,30,90.0,23,34.8,19,84.2,16,2,6,1,0,45,26,"115,235",195,136
107,tosu,2018,Ｃ大阪,2,1,2,48,58,5.1,7,14.3,49.6,12.85,10.47,110.51,11.97,3,0,463,70.4,13,7.7,15,6,4,28,85.7,17,58.8,21,76.2,18,1,3,2,0,32,9,"115,198",150,138
108,tosu,2018,柏,2,1,2,65,61,12.9,19,5.3,49.6,16.36,11.45,113.32,12.59,7,0,478,71.3,32,21.9,12,3,12,35,94.3,22,50.0,27,63.0,22,1,2,0,0,49,24,"117,207",153,147
109,tosu,2018,磐田,2,0,1,58,57,10.1,13,0.0,50.5,11.41,9.13,93.24,11.12,4,0,398,68.1,14,7.1,16,3,4,25,76.0,12,41.7,28,71.4,21,1,1,3,0,37,14,"110,193",167,129
110,tosu,2018,広島,2,0,1,64,34,10.9,13,0.0,48.6,18.61,14.70,91.89,17.54,1,0,443,72.5,14,28.6,10,1,2,19,78.9,13,69.2,14,85.7,25,4,0,3,0,47,17,"109,586",160,119
111,tosu,2018,川崎Ｆ,2,0,2,58,62,6.6,8,0.0,43.1,15.21,11.75,109.58,11.03,2,0,475,76.2,18,22.2,14,1,6,29,89.7,15,46.7,28,92.9,16,3,0,1,0,48,12,"120,339",215,122
112,tosu,2018,Ｇ大阪,2,0,3,52,37,7.5,10,0.0,43.0,10.38,8.25,86.64,18.99,1,0,336,59.8,15,26.7,15,5,3,25,84.0,4,0.0,32,75.0,23,0,2,0,0,25,12,"112,718",208,134
113,tosu,2018,札幌,2,1,2,56,62,15.3,18,5.6,42.7,13.33,10.24,93.16,12.93,9,0,396,77.0,10,30.0,13,2,7,17,94.1,10,50.0,15,86.7,13,3,1,0,0,33,15,"115,223",177,118
114,tosu,2018,清水,0,3,1,44,41,7.7,11,27.3,46.6,11.85,8.38,116.96,23.12,4,1,353,64.6,12,33.3,6,5,3,25,84.0,9,55.6,29,65.5,41,2,2,2,1,32,12,"117,020",163,142
