,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
25,y-fm,2015,浦和,0,4,0,44,48,15.1,16,25.0,36.7,11.58,9.12,66.27,18.23,7,0,324,78.7,5,40.0,9,1,5,14,85.7,9,33.3,29,65.5,29,3,2,2,0,31,11,"113,997",112,106
26,y-fm,2015,新潟,1,1,1,55,68,7.8,10,10.0,55.7,19.19,15.12,81.14,11.63,1,0,531,84.2,14,28.6,23,1,5,20,95.0,20,40.0,23,78.3,9,2,1,0,0,51,15,"113,205",137,128
27,y-fm,2015,FC東京,0,1,0,47,60,13.7,16,6.3,64.1,18.42,15.35,89.28,10.89,3,0,675,84.4,16,31.3,13,0,6,25,96.0,11,18.2,20,80.0,17,1,1,1,0,50,15,"114,571",122,117
28,y-fm,2015,湘南,1,1,1,58,47,9.9,14,7.1,52.9,14.88,11.41,83.37,17.60,3,0,449,76.2,18,11.1,19,3,5,29,82.8,14,57.1,15,86.7,27,0,3,0,0,46,15,"111,050",126,141
29,y-fm,2015,仙台,0,3,1,39,50,15.7,19,15.8,54.5,14.25,11.22,83.73,12.09,7,0,512,79.1,6,33.3,12,3,6,22,100.0,10,50.0,12,83.3,13,5,1,0,0,38,9,"113,045",111,121
30,y-fm,2015,神戸,0,2,1,52,56,17.4,21,9.5,68.3,25.19,21.41,78.01,9.93,7,0,700,86.1,13,15.4,14,1,4,26,96.2,19,42.1,19,68.4,12,2,2,0,0,87,17,"117,208",120,121
31,y-fm,2015,川崎Ｆ,0,1,0,46,32,8.0,9,11.1,44.5,13.94,11.26,78.57,19.03,5,0,398,78.1,8,25.0,10,2,2,9,100.0,13,46.2,22,63.6,26,3,4,1,0,30,14,"117,689",120,113
32,y-fm,2015,鹿島,2,0,2,5,48,8.0,10,0.0,51.3,11.17,8.87,101.50,12.06,3,0,499,75.2,8,12.5,13,3,1,23,87.0,12,50.0,30,70.0,21,3,0,1,0,29,3,"114,135",140,125
33,y-fm,2015,松本,1,0,0,57,83,12.1,17,0.0,62.7,21.54,17.28,89.93,8.72,3,0,598,79.9,15,33.3,12,1,8,33,90.9,18,33.3,25,68.0,17,7,1,1,0,58,12,"111,837",116,141
34,y-fm,2016,仙台,2,0,1,50,63,11.7,17,0.0,55.5,18.14,15.05,99.05,15.14,6,0,600,77.0,23,13.0,18,4,5,28,89.3,14,57.1,30,76.7,17,3,4,1,0,49,18,"124,730",157,145
35,y-fm,2016,福岡,1,1,1,47,62,8.1,11,9.1,71.2,20.98,18.88,111.06,13.16,2,0,780,85.8,16,12.5,11,0,9,25,100.0,14,28.6,23,78.3,18,3,2,5,0,58,14,"116,743",149,135
36,y-fm,2016,新潟,0,2,1,56,55,11.9,15,13.3,46.3,16.87,12.44,88.34,13.83,6,0,467,78.6,15,26.7,15,1,10,19,100.0,17,41.2,30,70.0,14,3,2,1,0,49,17,"118,147",176,126
37,y-fm,2016,鳥栖,0,2,1,28,52,5.9,7,28.6,46.2,9.79,7.69,58.11,15.19,3,0,377,72.9,6,16.7,15,1,3,28,92.9,12,50.0,22,68.2,30,1,7,0,0,23,5,"116,967",145,119
38,y-fm,2016,Ｇ大阪,0,2,1,39,42,8.9,9,22.2,45.0,11.07,8.77,76.71,17.24,3,0,430,81.9,12,16.7,12,2,4,12,91.7,11,45.5,27,81.5,25,5,3,2,0,26,8,"110,793",145,101
39,y-fm,2016,浦和,1,0,0,12,46,5.2,6,0.0,49.3,9.71,8.23,74.38,15.29,2,0,496,83.1,7,28.6,17,2,0,20,95.0,12,25.0,13,76.9,23,5,3,0,0,25,4,"111,190",133,115
40,y-fm,2016,磐田,0,5,1,33,57,9.1,12,41.7,50.8,11.99,8.94,78.92,14.80,10,0,509,81.3,5,60.0,18,1,2,27,92.6,10,50.0,28,75.0,16,4,3,1,0,22,9,"116,587",155,132
41,y-fm,2016,広島,2,1,2,55,70,12.5,13,7.7,49.4,22.78,19.34,84.34,10.21,3,1,637,89.0,13,30.8,5,3,3,12,91.7,14,35.7,24,79.2,14,2,2,1,0,74,17,"119,470",161,104
